City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,kerikeri,-35.2268,173.9474,12.73,89,80,0.45,NZ,1688418195
129,north side,19.35,-81.2,33.04,62,40,4.12,KY,1688417960
130,la ronge,55.1001,-105.2842,15.14,77,100,7.2,CA,1688418195
131,minas de marcona,-15.2119,-75.1103,16.79,66,9,4.57,PE,1688418196
132,gizo,-8.103,156.8419,27.5,80,13,3.55,SB,1688418196
133,tsuruga,35.6455,136.0558,21.66,93,71,1.37,JP,1688418196
134,novoagansk,61.9449,76.6625,15.42,78,59,3.44,RU,1688418196
135,thai binh,20.45,106.3333,28.26,80,93,4.96,VN,1688418197
136,ugoofaaru,5.6667,73.0,27.99,77,100,8.9,MV,1688418197
137,miri,4.4148,114.0089,23.08,100,20,1.54,MY,1688418197
138,san juan del sur,11.2529,-85.8705,31.12,74,20,2.06,NI,1688418198
139,hell-ville,-13.4,48.2667,24.16,69,3,3.15,MG,1688418198
140,fort st. john,56.2499,-120.8529,13.94,88,100,4.63,CA,1688418010
141,san juan,-31.5375,-68.5364,18.86,47,37,4.22,AR,1688418198
142,cadale,2.7603,46.3222,25.25,78,6,8.34,SO,1688418199
143,sainte-marie,-20.8968,55.5496,21.09,68,20,5.14,RE,1688418199
144,uzgen,40.7699,73.3007,24.16,30,100,2.52,KG,1688418199
145,hermanus,-34.4187,19.2345,8.78,80,94,2.13,ZA,1688418199
146,palembang,-2.9167,104.7458,25.05,100,40,1.03,ID,1688418200
147,erattupetta,9.7,76.7833,23.73,98,100,2.25,IN,1688418200
148,fortaleza,-3.7227,-38.5247,27.34,78,0,5.14,BR,1688417949
149,port lincoln,-34.7333,135.8667,9.1,79,0,3.52,AU,1688418200
150,salinas,36.6777,-121.6555,31.98,67,0,6.69,US,1688418090
151,cortland,42.6001,-76.083,24.86,82,75,2.57,US,1688418056
152,lodja,-3.4833,23.4333,22.82,52,1,0.21,CD,1688418201
153,tahe,52.3333,124.7333,17.19,83,5,1.05,CN,1688418201
154,olyokminsk,60.3736,120.4264,19.37,73,92,1.35,RU,1688418201
155,malango,-2.9627,119.9001,20.24,98,100,0.74,ID,1688418202
156,thompson,55.7435,-97.8558,15.09,82,100,4.63,CA,1688417997
157,qacha's nek,-30.1154,28.6894,5.41,30,0,2.41,LS,1688418202
158,chotila,22.4167,71.1833,27.73,86,93,4.45,IN,1688418202
159,whitehorse,60.7161,-135.0538,25.05,43,20,5.14,CA,1688418203
160,naama,33.2667,-0.3167,31.63,19,21,8.58,DZ,1688418132
161,whistler,50.1164,-122.9695,25.57,21,20,2.57,CA,1688418203
162,myeik,12.4333,98.6,25.67,88,100,2.24,MM,1688418203
163,cestos city,5.46,-9.5828,25.52,79,98,2.79,LR,1688418204
164,luis correia,-2.8792,-41.6669,28.0,78,20,4.44,BR,1688418204
165,coahuayana de hidalgo,18.7,-103.6583,32.86,57,38,3.54,MX,1688418204
166,malmyzh,56.5205,50.6818,17.05,86,31,1.89,RU,1688418204
167,atafu village,-8.5421,-172.5159,28.27,75,98,7.22,TK,1688418205
168,portales,34.1862,-103.3344,32.55,23,10,0.7,US,1688418205
169,mount gambier,-37.8333,140.7667,7.73,98,100,2.15,AU,1688418205
170,chonchi,-42.6128,-73.8092,10.56,74,63,2.29,CL,1688418175
171,broken hill,-31.95,141.4333,9.15,94,100,1.89,AU,1688418155
172,julio de castilhos,-29.2269,-53.6817,16.51,77,22,2.17,BR,1688418205
173,pitimbu,-7.4706,-34.8086,25.33,84,72,6.09,BR,1688418206
174,taltal,-25.4,-70.4833,16.51,78,40,1.18,CL,1688418103
175,orsta,62.2029,6.1272,13.54,94,100,2.28,NO,1688418197
176,aasiaat,68.7098,-52.8699,3.78,97,100,1.1,GL,1688418207
177,hithadhoo,-0.6,73.0833,27.09,77,100,5.92,MV,1688418208
178,chibougamau,49.9168,-74.3659,28.79,39,0,2.69,CA,1688418155
179,christchurch,-43.5333,172.6333,4.15,93,0,1.54,NZ,1688418067
180,ghat,24.9647,10.1728,35.22,12,52,3.02,LY,1688418209
181,barysh,53.6553,47.1123,17.78,94,95,2.25,RU,1688418209
182,twante,16.7167,95.9333,25.07,91,100,4.94,MM,1688418210
183,hammerfest,70.6634,23.6821,10.25,76,75,5.14,NO,1688418210
184,usinsk,65.9939,57.5281,15.75,87,25,3.55,RU,1688418210
185,inarajan village,13.2736,144.7484,28.33,91,100,3.46,GU,1688418210
186,progreso,21.2833,-89.6667,25.62,84,100,7.61,MX,1688418009
187,newman,37.3138,-121.0208,40.57,10,0,2.7,US,1688418004
188,medina,24.4686,39.6142,36.24,17,0,2.06,SA,1688418013
189,panjakent,39.4952,67.6093,22.15,49,0,1.33,TJ,1688418211
190,port alfred,-33.5906,26.891,12.88,95,60,0.45,ZA,1688418211
191,zhob,31.3411,69.4481,29.96,49,0,2.23,PK,1688418212
192,kenai,60.5544,-151.2583,16.13,85,100,7.2,US,1688418212
193,lianzhou,24.7811,112.3825,24.51,99,86,1.59,CN,1688418176
194,skowhegan,44.7651,-69.7192,25.08,84,100,1.02,US,1688418100
195,lago da pedra,-4.3333,-45.1667,27.99,68,54,2.0,BR,1688418213
196,codrington,-38.2667,141.9667,8.14,97,100,2.18,AU,1688418213
197,chimichagua,9.2578,-73.8123,30.69,76,100,1.07,CO,1688418097
198,champerico,14.3,-91.9167,31.3,67,99,2.35,GT,1688418213
199,east end,34.5507,-92.341,30.84,28,20,1.41,US,1688418214
200,prince rupert,54.3161,-130.3201,16.05,84,0,7.2,CA,1688418214
201,juneau,58.3019,-134.4197,17.0,55,40,3.09,US,1688417960
202,buka,40.8108,69.1986,24.27,31,0,3.37,UZ,1688418214
203,nicoya,10.1483,-85.452,29.0,78,76,1.78,CR,1688418215
204,rongelap,11.1635,166.8941,28.31,76,29,8.2,MH,1688418215
205,sao jose da coroa grande,-8.8978,-35.1478,24.03,86,100,5.01,BR,1688418215
206,ketchikan,55.3422,-131.6461,20.26,52,0,6.17,US,1688418216
207,maragogi,-9.0122,-35.2225,23.7,87,100,4.93,BR,1688418168
208,grand gaube,-20.0064,57.6608,22.22,75,17,0.45,MU,1688418216
209,ta`u,-14.2336,-169.5144,27.4,66,20,7.02,AS,1688418216
210,karratha,-20.7377,116.8463,15.95,58,18,3.88,AU,1688418216
211,kamakwie,9.5,-12.2333,23.46,95,100,2.27,SL,1688418217
212,san julian,21.0167,-102.1667,25.23,41,78,3.28,MX,1688418217
213,isangel,-19.55,169.2667,21.57,67,100,4.95,VU,1688418217
214,keflavik,64.0049,-22.5624,13.95,58,0,7.72,IS,1688418217
215,barcelos,41.5388,-8.6151,18.16,92,0,3.17,PT,1688418199
216,alva,56.1528,-3.8051,13.7,82,91,0.89,GB,1688418218
217,hawaiian paradise park,19.5933,-154.9731,27.73,78,100,3.6,US,1688418218
